Verification Results (test_Xthis, test_ythis)
Timestamp: 2026-01-27 00:01:53.031230
Accuracy: 93.30%
-------------------------------------------------------
Index | True | Pred | Correct | Confidence
-------------------------------------------------------
    0 |    0 |    0 | O       | 0.5197
    1 |    0 |    0 | O       | 0.4113
    2 |    0 |    0 | O       | 0.5739
    3 |    0 |    0 | O       | 0.5701
    4 |    0 |    0 | O       | 0.4482
    5 |    0 |    0 | O       | 0.5785
    6 |    0 |    0 | O       | 0.4031
    7 |    0 |    0 | O       | 0.5612
    8 |    0 |    0 | O       | 0.5734
    9 |    0 |    0 | O       | 0.4239
   10 |    0 |    0 | O       | 0.5424
   11 |    0 |    0 | O       | 0.5746
   12 |    0 |    0 | O       | 0.5770
   13 |    0 |    0 | O       | 0.5510
   14 |    0 |    0 | O       | 0.5681
   15 |    0 |    0 | O       | 0.5048
   16 |    0 |    0 | O       | 0.5636
   17 |    0 |    0 | O       | 0.5481
   18 |    0 |    0 | O       | 0.5591
   19 |    0 |    0 | O       | 0.5682
   20 |    0 |    0 | O       | 0.5686
   21 |    0 |    0 | O       | 0.5601
   22 |    0 |    0 | O       | 0.4703
   23 |    0 |    0 | O       | 0.3882
   24 |    0 |    0 | O       | 0.4502
   25 |    0 |    0 | O       | 0.5636
   26 |    0 |    0 | O       | 0.4621
   27 |    0 |    0 | O       | 0.5613
   28 |    0 |    0 | O       | 0.5736
   29 |    0 |    0 | O       | 0.5226
   30 |    0 |    0 | O       | 0.4247
   31 |    0 |    0 | O       | 0.5484
   32 |    0 |    0 | O       | 0.5725
   33 |    0 |    0 | O       | 0.4205
   34 |    0 |    0 | O       | 0.5219
   35 |    0 |    0 | O       | 0.5761
   36 |    0 |    0 | O       | 0.5560
   37 |    0 |    0 | O       | 0.4030
   38 |    0 |    0 | O       | 0.5447
   39 |    0 |    0 | O       | 0.5758
   40 |    0 |    0 | O       | 0.4933
   41 |    0 |    0 | O       | 0.5118
   42 |    0 |    0 | O       | 0.5591
   43 |    0 |    0 | O       | 0.5740
   44 |    0 |    0 | O       | 0.4940
   45 |    0 |    0 | O       | 0.5281
   46 |    0 |    0 | O       | 0.5329
   47 |    0 |    0 | O       | 0.5270
   48 |    0 |    0 | O       | 0.5716
   49 |    0 |    0 | O       | 0.5760
   50 |    0 |    0 | O       | 0.3825
   51 |    0 |    0 | O       | 0.5476
   52 |    0 |    0 | O       | 0.5691
   53 |    0 |    0 | O       | 0.5556
   54 |    0 |    0 | O       | 0.5586
   55 |    0 |    0 | O       | 0.4680
   56 |    0 |    0 | O       | 0.5636
   57 |    0 |    0 | O       | 0.5573
   58 |    0 |    0 | O       | 0.3989
   59 |    0 |    0 | O       | 0.3783
   60 |    0 |    0 | O       | 0.5769
   61 |    0 |    0 | O       | 0.5532
   62 |    0 |    0 | O       | 0.5022
   63 |    0 |    0 | O       | 0.5499
   64 |    0 |    0 | O       | 0.5635
   65 |    0 |    0 | O       | 0.5738
   66 |    0 |    0 | O       | 0.5433
   67 |    0 |    0 | O       | 0.4128
   68 |    0 |    0 | O       | 0.5599
   69 |    0 |    0 | O       | 0.5722
   70 |    0 |    0 | O       | 0.4123
   71 |    0 |    0 | O       | 0.3821
